"","horizon","1","4","5","6","baseline_expex_lv","baseline_last_val"
"1",7,14675.8480756365,9178.59266654905,10529.211724291,17662.0841174356,14987.6864394167,12645.6233124105
"2",14,21238.583661935,20171.5590337861,26304.5895385829,26687.7567382377,37808.0640552281,24051.3376766745
"3",21,30956.6723011077,34061.9967817466,43238.4653459115,37257.0344232206,63242.6363475906,34568.1397037789
"4",28,38625.8126773342,49350.6048773256,63803.4414041435,47125.6230326036,97929.3617846712,44394.5446366657
