"","model","periods","horizon","mad","bias","dss","crps","log_score","ae_median","se_mean"
"85","1","Opening Up",14,28400.088324,-0.278857142857143,26.3705238512937,33791.5698380179,19.2162685766548,43248.1577977878,4488120762.98053
"86","4","Opening Up",14,24450.278838,-0.294285714285714,31.2502787360366,38496.441094546,27.7839310510802,50609.6847543343,4531356121.70917
"87","5","Opening Up",14,22032.3617778,-0.236,33.9690646276495,42704.128148548,29.6296851500922,52134.2258784023,6501882138.09324
"88","6","Opening Up",14,27394.665252,-0.0571428571428571,28.576170838433,36879.7539397903,23.1804820324848,48049.0522923347,4523838752.64011
"89","1","Opening Up",21,29642.456292,-0.422285714285714,50.7171726182588,67478.9597943747,Inf,80609.6069849692,17824677210.9381
"90","4","Opening Up",21,29920.973292,-0.370857142857143,65.3429681697953,74718.2821396707,Inf,91086.1798823467,17256026380.2874
"91","5","Opening Up",21,32740.914498,-0.248571428571429,84.7641165267174,80269.7754013333,Inf,93762.9429802943,21949358920.0762
"92","6","Opening Up",21,29195.880228,-0.18,60.0694825936561,65636.4230618209,Inf,78671.5573101115,16709841255.4885
"93","1","Opening Up",28,32956.865778,-0.509714285714286,73.6535854930472,96892.027826293,Inf,109716.988293364,34281442393.6908
"94","4","Opening Up",28,37076.271996,-0.332571428571429,118.059041242623,103065.385773334,Inf,119935.783035807,32749089963.2065
"95","5","Opening Up",28,46789.58174766,-0.177714285714286,239.798736735456,116488.108016286,Inf,133575.576108334,43417805237.35
"96","6","Opening Up",28,30435.174978,-0.349142857142857,106.883930472993,94002.2196077636,Inf,105176.982904778,32226797639.2331
"97","baseline_last_val",NA,7,0,-0.714285714285714,NA,10606.6361417565,Inf,10606.6361417565,146773143.481037
"98","baseline_last_val",NA,14,0,-0.142857142857143,NA,18549.6547539884,Inf,18549.6547539884,460076287.265287
"99","baseline_last_val",NA,21,0,0.714285714285714,NA,21175.3842841397,Inf,21175.3842841397,650139742.938238
"100","baseline_last_val",NA,28,0,0.714285714285714,NA,20584.5416825791,Inf,20584.5416825791,541687196.988762
"101","baseline_last_val","Lockdown 2",7,0,0.142857142857143,NA,17227.4496195452,Inf,17227.4496195452,403881909.438358
"102","baseline_last_val","Lockdown 2",14,0,0,NA,23794.2236676596,Inf,23794.2236676596,913662316.918435
"103","baseline_last_val","Lockdown 2",21,0,-0.571428571428571,NA,40073.7982230663,Inf,40073.7982230662,2702675414.47585
