"","age_group","score_type","1","2","3","4","5","baseline_expex_lv","baseline_last_val","baseline_linex_lv"
"1","11-15","crps",28229.6161237491,31115.3146571383,30273.0879599938,30055.8145125088,36176.9588700044,64917.2119364011,27976.7212625191,45306.82682951
"2","11-15","ae_median",31530.9133872361,34864.6914663513,33919.6537843883,33593.020959819,42137.8889795438,64917.2119364011,27976.7212625191,45306.82682951
"3","16-24","crps",41377.6606914371,43747.3114160003,42453.4751551837,41827.0349503551,39692.1815838105,48599.9910174002,34038.8606478637,44728.0111726987
"4","16-24","ae_median",46207.5477933054,48686.8258668917,47350.82613588,46672.5126567623,45845.4067667013,48599.9910174002,34038.8606478637,44728.0111726987
"5","2-10","crps",27013.2789664836,33517.2244868221,32849.6421286904,32994.3040615529,33211.2338443354,49389.7195308709,27770.833945836,37569.1597440229
"6","2-10","ae_median",31851.6516199308,38744.1715198211,37845.4397956832,38375.8308732694,39947.6341838286,49389.7195308709,27770.833945836,37569.1597440229
"7","25-34","crps",32208.618141416,35391.0170233101,33765.4092727297,33407.6022557334,31463.251634538,52228.6861064316,31338.0085151477,38089.3852239943
"8","25-34","ae_median",35360.122222063,38989.6352642401,36861.5934875147,36607.0512437869,35879.3199288349,52228.6861064316,31338.0085151477,38089.3852239943
"9","35-49","crps",37699.9625301595,44402.3684023996,41180.3231711701,41090.6525575953,61852.3987828626,78608.3759544149,39015.0787883346,60226.071215845
"10","35-49","ae_median",42085.8037740318,49050.589987872,45659.6367568068,45826.981196462,70242.7977497819,78608.3759544149,39015.0787883346,60226.071215845
"11","50-69","crps",27482.1459565393,32397.7566632709,29056.7372438327,28725.9774932057,36905.1409123281,47145.356849489,29659.3614274709,43175.3602392239
"12","50-69","ae_median",31186.8462695989,36295.6090991423,32803.0413372275,32601.9275010206,42256.2038909022,47145.356849489,29659.3614274709,43175.3602392239
"13","70+","crps",11076.160747612,13109.7732991729,12576.0315902628,12315.683811185,20812.7222884598,33554.218702079,12605.5147395049,25623.0304635734
"14","70+","ae_median",12387.8945261131,14593.2468615433,13929.6989520605,13803.6510037847,23812.1564185027,33554.218702079,12605.5147395049,25623.0304635734
