"","type","horizon","model","crps","ae_median","bias","crps_rel"
"1","Cases",7,"1",4079.63328962241,4712.92440948276,0.0156034482758621,1.29256719018068
"2","Cases",7,"4",3077.50098401379,3542.51253232759,-0.101551724137931,0.97505744200189
"3","Cases",7,"5",3502.80394238947,3880.76038657802,-0.224741379310345,1.10980794795584
"4","Cases",7,"6",5342.75043320388,5961.29321336207,0.00931034482758621,1.69276585051156
"5","Cases",7,"baseline_last_val",4132.46551724138,4132.46551724138,0,1.30930624468789
"6","Cases",7,"baseline_expex_lv",3156.22531703915,3156.22531703915,-0.181034482758621,1
"7","Cases",14,"1",6454.52847480086,7356.72041163793,0.0485344827586207,1.01161903321208
"8","Cases",14,"4",5973.73783390819,6603.57770905172,-0.0463793103448276,0.936264657564636
"9","Cases",14,"5",5530.30786172742,6194.78908821207,-0.136724137931034,0.86676582407028
"10","Cases",14,"6",9304.86216717198,10213.8222047414,0.0618103448275862,1.45835217963255
"11","Cases",14,"baseline_last_val",6321.74568965517,6321.74568965517,-0.0948275862068965,0.990807971139813
"12","Cases",14,"baseline_expex_lv",6380.39445966782,6380.39445966782,-0.120689655172414,1
"13","Cases",21,"1",10716.2934190983,12036.7084288793,-0.0118965517241379,0.941388027689589
"14","Cases",21,"4",11226.9370581483,12098.3707780172,-0.0548275862068966,0.986246243997926
"15","Cases",21,"5",9738.04054286333,10844.3050482504,-0.16051724137931,0.85545201327445
"16","Cases",21,"6",15335.978248972,16617.8649051724,0.0120689655172414,1.34721080805428
"17","Cases",21,"baseline_last_val",9542.69827586207,9542.69827586207,-0.0258620689655172,0.838291894167503
"18","Cases",21,"baseline_expex_lv",11383.5029805922,11383.5029805922,-0.120689655172414,1
"19","Cases",28,"1",14258.8250165543,15993.8838491379,0.0433620689655172,0.825657775250039
"20","Cases",28,"4",16911.7665668353,18077.2640840517,0.00775862068965517,0.97927645110379
"21","Cases",28,"5",14513.3596782219,16138.4750060425,-0.142241379310345,0.840396613985522
"22","Cases",28,"6",21242.6038772556,23077.7849655172,0.0768965517241379,1.23005374127602
"23","Cases",28,"baseline_last_val",11683.8405172414,11683.8405172414,-0.0431034482758621,0.676553205235488
"24","Cases",28,"baseline_expex_lv",17269.6551089054,17269.6551089054,-0.0689655172413793,1
"25","Infections",7,"1",13400.5361299027,15986.9105858043,-0.00610837438423645,0.894103048130238
"26","Infections",7,"4",12101.9368425258,15186.7671306254,-0.0319211822660098,0.807458635556881
"27","Infections",7,"5",12547.9530066839,15554.8818350354,-0.131034482758621,0.837217475652785
"28","Infections",7,"6",16959.6725518135,20191.452167878,-0.154384236453202,1.13157375024944
"29","Infections",7,"baseline_last_val",12645.6233124105,12645.6233124105,-0.0443349753694581,0.843734178955954
"30","Infections",7,"baseline_expex_lv",14987.6864394167,14987.6864394167,-0.0246305418719212,1
"31","Infections",14,"1",23596.8655709616,26901.6380209424,-0.0751724137931035,0.624122555878356
"32","Infections",14,"4",25498.268422774,30157.3805965577,-0.0557635467980295,0.674413489818663
"33","Infections",14,"5",31378.2608291951,37078.4990921147,-0.125221674876847,0.829935666194368
"34","Infections",14,"6",27980.7575058641,31928.5767553237,-0.204433497536946,0.74007379655809
"35","Infections",14,"baseline_last_val",24051.3376766745,24051.3376766745,-0.0147783251231527,0.636143063065633
"36","Infections",14,"baseline_expex_lv",37808.0640552281,37808.0640552281,-0.00492610837438424,1
"37","Infections",21,"1",36688.045025697,40637.8487858506,-0.0663054187192118,0.580115680567999
"38","Infections",21,"4",41351.9231629343,47150.2819738314,-0.0769458128078818,0.653861469905495
"39","Infections",21,"5",51821.2720934888,60633.6971862016,-0.113990147783251,0.819404045850834
"40","Infections",21,"6",42241.1982521968,47152.4119751001,-0.210246305418719,0.667922792149794
"41","Infections",21,"baseline_last_val",34568.1397037789,34568.1397037789,0.0147783251231527,0.546595488426312
"42","Infections",21,"baseline_expex_lv",63242.6363475906,63242.6363475906,-0.00492610837438424,1
"43","Infections",28,"1",50467.8055567022,55384.1888692796,-0.0411822660098522,0.515349070360243
"44","Infections",28,"4",60544.8042689208,67879.2733457632,-0.0790147783251231,0.618249758453933
"45","Infections",28,"5",78006.8730069286,92380.2735779623,-0.12679802955665,0.796562660935659
"46","Infections",28,"6",58621.8090906403,64331.6042713536,-0.172807881773399,0.598613204684607
"47","Infections",28,"baseline_last_val",44394.5446366657,44394.5446366657,-0.0640394088669951,0.453332318597983
"48","Infections",28,"baseline_expex_lv",97929.3617846712,97929.3617846712,-0.0147783251231527,1
