"","model","periods","horizon","mad","bias","dss","crps","log_score","ae_median","se_mean"
"39","4","Lockdown 3",28,235.36830975,-0.2075,125.885403043127,975.892759375,Inf,1102.50375,2086983.11844612
"40","4","Lockdown 3",14,139.202240625,-0.925,316.206067401894,1598.902038625,Inf,1681.18,3986003.56294692
"41","5","Lockdown 3",28,413.5008465,-0.1875,57.1725771153972,864.884435875,101.240113175674,1009.049375,2218612.81733844
"42","5","Lockdown 3",14,176.135659875,-1,155.373715651893,1546.01741905,Inf,1659.355625,3537251.81808461
"43","6","Lockdown 3",28,1090.377243375,0.305,17.6278161280898,1043.162663925,9.64599429723568,1466.42375,2464103.49894221
"44","6","Lockdown 3",14,292.42246425,-0.585,67.3029946041271,1080.4688242375,99.2965695256203,1243.801875,2477362.59747411
"45","1","Lockdown 3 
Schools Open",28,243.7831767,0.143333333333333,36.5267139708257,717.460996520833,46.3639079031383,841.3550625,1347952.87650103
"46","1","Lockdown 3 
Schools Open",14,172.37263575,0.3425,19.2366407561681,319.364829270833,13.4900105331187,391.324291666667,249058.520076719
"47","4","Lockdown 3 
Schools Open",28,154.162292375,-0.219166666666667,220.836130522568,813.166954429167,Inf,887.0239375,1634070.8343018
"48","4","Lockdown 3 
Schools Open",14,144.9078105125,-0.0075,29.0643701295417,333.562000341667,28.6937656336574,402.083854166667,247370.647629426
"49","5","Lockdown 3 
Schools Open",28,112.687669325,-0.4375,117.935003220327,995.41231355,Inf,1065.92085416667,2258308.08288609
"50","5","Lockdown 3 
Schools Open",14,99.971532675,-0.480833333333333,68.0444514660009,645.286291583333,105.618478282599,710.548020833333,1336480.52325186
"51","6","Lockdown 3 
Schools Open",28,310.8046347875,0.2275,26.6737061593098,628.253061595833,30.3273754500515,763.10025,1188663.37566934
"52","6","Lockdown 3 
Schools Open",14,217.614730725,0.328333333333333,18.4018909628356,409.452636875,12.6283576027209,508.391895833333,400965.015792958
"53","1","Lockdown 3 
Schools Open",21,228.232741275,0.63875,20.6190293189288,498.96536018125,14.7435371062647,602.955375,590702.529673894
"54","1","Lockdown 3 
Schools Open",7,151.3155459375,0.3725,16.6307537593445,274.35777999375,10.3906791421103,341.83809375,211760.703585485
"55","4","Lockdown 3 
Schools Open",21,190.2184139625,0.37,18.4814770885325,375.44255578125,12.6810587201057,455.01828125,358324.363124941
"56","4","Lockdown 3 
Schools Open",7,102.83855675625,-0.2675,21.022725864743,229.466225175,18.80285950358,271.27125,163617.725504686
"57","5","Lockdown 3 
Schools Open",21,121.08352501875,-0.05625,80.6439073390607,957.5624013875,138.278586926853,1023.6346875,3232886.62058861
"58","5","Lockdown 3 
Schools Open",7,107.8809256875,0.34375,28.8110857986207,371.43261745,34.2716464129115,416.1213125,789864.013735479
"59","6","Lockdown 3 
Schools Open",21,312.26414638125,0.775,16.10590422267,454.83043415625,9.37527827702381,584.84678125,555899.357650086
"60","6","Lockdown 3 
Schools Open",7,171.9651987375,0.265,16.7001400782457,294.18914115,11.2969023307423,368.03778125,219553.191917104
"61","1","Lockdown 3 
easing",21,2544.95975090795,-0.1925,92.4310966827735,10297.7057416568,Inf,11638.5833125,482701626.012324
"62","1","Lockdown 3 
easing",7,1224.06288945341,-0.203863636363636,33.3221148158648,4404.40651462727,Inf,5070.07255681818,90684016.7194511
"63","4","Lockdown 3 
easing",21,1491.86871819205,-0.258181818181818,88.4384536611023,6822.09552980455,Inf,7560.50203409091,319141326.917981
"64","4","Lockdown 3 
easing",7,878.0298198,-0.2425,25.9054763617809,2150.06614570682,24.0602152265964,2560.04998863636,22917162.4805703
"65","5","Lockdown 3 
easing",21,2672.80888094659,-0.247272727272727,335.103595965103,7651.32709622386,Inf,8829.50799431818,361140034.690248
"66","5","Lockdown 3 
easing",7,842.702485967045,-0.362272727272727,49.7338113614954,2233.28032114205,Inf,2613.27828977273,23188079.6451041
"67","6","Lockdown 3 
easing",21,3076.53097800682,-0.202727272727273,138.521260182184,15631.8361756125,Inf,17206.1048806818,1170165725.76699
"68","6","Lockdown 3 
easing",7,1343.2579316625,-0.161363636363636,39.782429419974,5349.88275729205,Inf,5986.68707386364,151674111.614042
"69","1","Lockdown 3 
easing",28,3788.15122053375,-0.10225,186.263547046375,13542.9151731037,Inf,15383.39949375,924982488.864377
"70","1","Lockdown 3 
easing",14,1833.73893766875,-0.14675,57.1413428675162,6459.7748128075,Inf,7458.050275,208907243.168055
"71","4","Lockdown 3 
easing",28,2222.26012393875,-0.20175,195.434628327175,11812.5877438638,Inf,12949.2070875,918008092.423039
"72","4","Lockdown 3 
easing",14,1122.6139155525,-0.1135,44.3028540809051,4032.235284865,Inf,4558.42615625,84258814.0188304
"73","5","Lockdown 3 
easing",28,4431.12596689875,-0.29925,726.782631607361,13716.7295663312,Inf,15810.67186875,1187348981.41768
"74","5","Lockdown 3 
easing",14,1710.8451395175,-0.08525,133.34504243496,4636.1741421925,Inf,5437.12166875,90921158.4894061
"75","6","Lockdown 3 
easing",28,4527.3232725525,-0.108,374.008010705685,23226.685191025,Inf,25455.12420625,2692857134.238
"76","6","Lockdown 3 
easing",14,2149.4668638975,-0.068,65.0630579269198,9709.90339954,Inf,10768.19155625,460912785.009879
"77","1","Opening Up",28,4133.035680375,-0.176428571428571,187.690271305938,19108.4486564107,Inf,21152.8510714286,1440763477.7236
"78","1","Opening Up",14,2553.719504875,-0.209583333333333,36.4340283717966,6419.1377990625,39.576083076097,7425.54625,143009646.211601
"79","4","Opening Up",28,2680.258708875,-0.274285714285714,209.075000321701,20517.6724370179,Inf,22026.7933035714,1421144637.49753
"80","4","Opening Up",14,1846.29598825,-0.254583333333333,37.0731565366859,6345.2665606875,38.8420620750387,7236.98760416667,148376978.320436
"81","5","Opening Up",28,4473.209513625,-0.113214285714286,242.199565592089,20754.3753727321,Inf,22838.105625,1493881180.62368
"82","5","Opening Up",14,2272.227818,-0.15,49.4888162484713,6902.01389233333,62.3861475427534,7938.92427083333,153020913.754037
"83","6","Opening Up",28,3661.5671595,-0.0921428571428571,246.231800650968,17820.3907590357,Inf,19568.8907142857,1296618187.8317
"84","6","Opening Up",14,2203.59023325,-0.132916666666667,44.0529206785524,7669.26968560417,53.3553858256524,8684.96020833333,164448863.475834
"85","1","Opening Up",21,3373.18681,-0.25375,143.829705965036,12677.528001625,Inf,14273.660625,663016137.762176
"86","1","Opening Up",7,1956.8993073,-0.1865,27.3988813181011,3882.01567475,20.4813683360568,4730.2155,35957053.6142748
"87","4","Opening Up",21,2271.8548514375,-0.4525,130.075081361367,13949.3183306458,Inf,15115.0464583333,685158526.953404
"88","4","Opening Up",7,1581.2499801,-0.113,19.755572992792,2192.703651575,11.6595643324485,2807.53525,17391024.691691
"89","5","Opening Up",21,3315.3859501875,-0.27125,115.87507310955,14912.9555684583,Inf,16577.2457291667,721857580.627498
"90","5","Opening Up",7,1451.220585675,-0.094,23.8133973073072,2556.789243375,17.5262033781348,3227.31225,19620218.2094107
"91","6","Opening Up",21,2629.87974025,-0.178333333333333,175.652694835419,12953.9739200417,Inf,14125.7670833333,614765741.674124
"92","6","Opening Up",7,1841.08934415,-0.197,27.8973674002743,4960.3256857,22.5895019024274,5886.1425,71887236.6138445
"93","baseline_last_val","Lockdown 2 
easing",7,0,-0.125,NA,4919.625,Inf,4919.625,54342735.875
"94","baseline_last_val","Lockdown 2 
easing",14,0,-1,NA,2730.375,Inf,2730.375,9234042.875
"95","baseline_last_val","Lockdown 2 
easing",21,0,-1,NA,12066.375,Inf,12066.375,179607868.375
"96","baseline_last_val","Christmas",28,0,0.125,NA,19032.8541666667,Inf,19032.8541666667,596731735.5625
"97","baseline_last_val","Christmas",14,0,0.333333333333333,NA,12749.8958333333,Inf,12749.8958333333,247448087.604167
"98","baseline_last_val","Christmas",21,0,0.2,NA,18114.775,Inf,18114.775,498612376.825
"99","baseline_last_val","Christmas",7,0,0.6,NA,8231.55,Inf,8231.55,111063440.1
"100","baseline_last_val","Lockdown 3",21,0,0.75,NA,3072.8125,Inf,3072.8125,14882056.9375
"101","baseline_last_val","Lockdown 3",28,0,0.75,NA,4811.875,Inf,4811.875,31047070.125
"102","baseline_last_val","Lockdown 3",7,0,0.625,NA,534.375,Inf,534.375,459622.875
"103","baseline_last_val","Lockdown 3",14,0,0.5,NA,1189.625,Inf,1189.625,1502512.375
"104","baseline_last_val","Lockdown 3 
Schools Open",28,0,0.916666666666667,NA,1782,Inf,1782,3955113.08333333
