"","horizon","1","4","5","6","baseline_expex_lv","baseline_last_val"
"1",7,5339.08571305517,3082.61365498276,2860.52514764612,4607.16893352328,3156.22531703915,4132.46551724138
"2",14,7213.62824954569,5720.44104881466,5784.21508178836,8713.49052298448,6380.39445966782,6321.74568965517
"3",21,11327.4422621534,10441.1575996125,11127.2967333875,15115.2420666815,11383.5029805922,9542.69827586207
"4",28,15872.9878777453,15610.5446934668,16932.0162510659,21721.7907261159,17269.6551089054,11683.8405172414
