"","age_group","score_type","horizon","1","4","5","6","baseline_expex_lv","baseline_last_val"
"22","20-29","ae_median",14,16375.6174137931,9067.08982758621,10484.3567241379,28007.4246551724,10561.3910322573,10019.6551724138
"23","20-29","ae_median",21,28653.6224137931,19684.5972413793,21741.6920689655,46510.8201724138,18861.9761408837,17736.7586206897
"24","20-29","ae_median",28,40020.2846551724,31711.3151896552,34953.7213793103,65516.3236206897,30122.9701332457,21817.4137931034
"25","30-39","crps",7,4100.06429072069,2947.9542787931,2725.09707886207,8879.19118310345,3610.27420097341,5565.27586206897
"26","30-39","crps",14,7171.74900055172,5650.76628658621,6224.54209265517,14774.088350569,7162.84881421362,8344.31034482759
"27","30-39","crps",21,15000.5829202414,13872.0761777241,14608.3809435862,27622.3584671172,15110.8112339013,13439.3793103448
"28","30-39","crps",28,22400.8763268621,20452.4487202241,21735.3021035483,39975.5392173483,21793.5998903977,17174.5862068966
"29","30-39","ae_median",7,6010.17017241379,3890.58965517241,3304.16189655172,12247.744137931,3610.27420097341,5565.27586206897
"30","30-39","ae_median",14,9972.56913793104,7227.28931034483,7863.32120689655,19636.6439655172,7162.84881421362,8344.31034482759
"31","30-39","ae_median",21,19110.2646551724,16082.4517241379,17359.9887931035,34409.9196551724,15110.8112339013,13439.3793103448
"32","30-39","ae_median",28,27394.2494827586,23464.9217241379,25575.5175862069,49160.9875862069,21793.5998903977,17174.5862068966
"33","40-49","crps",7,3276.58256384828,2380.7044782069,2403.71062796552,5834.32593972414,3171.14233264252,4763.51724137931
"34","40-49","crps",14,5215.86652051724,5088.61079554828,4808.69754746552,10102.7169739655,5410.36026880837,7189.89655172414
"35","40-49","crps",21,10318.1256110345,10858.5995786724,10145.5154469276,18166.2164821931,10668.653189306,10178.5862068966
"36","40-49","crps",28,15937.5304292207,16838.8889280069,15562.9795496966,26293.0375525931,16045.92049412,12790.4482758621
"37","40-49","ae_median",7,4551.50327586207,3111.54120689655,3077.92344827586,8282.115,3171.14233264252,4763.51724137931
"38","40-49","ae_median",14,7061.76465517241,6482.84827586207,5940.35396551724,13482.430862069,5410.36026880837,7189.89655172414
"39","40-49","ae_median",21,13448.3981034483,12903.195,12338.7572413793,23221.6086206897,10668.653189306,10178.5862068966
"40","40-49","ae_median",28,20401.8334482759,20001.1303448276,18429.7943793103,32836.2184482759,16045.92049412,12790.4482758621
"41","50-59","crps",7,2581.44667642414,2207.82869664483,2180.61168103793,3994.85875195862,2914.35671744687,4106.72413793103
"42","50-59","crps",14,4138.31618515172,4091.15189493448,4269.09941284828,6573.30596196897,5002.2039926747,6221.72413793103
"43","50-59","crps",21,8045.26504306897,8743.2703122069,9155.4015109069,12021.0426310345,9298.0067350744,8479.89655172414
"44","50-59","crps",28,13099.5592457172,13823.3276021793,14065.2091698517,18989.6410033138,14138.9829690912,10847.7931034483
"45","50-59","ae_median",7,3556.31051724138,2849.97793103448,2787.12396551724,5593.53965517241,2914.35671744687,4106.72413793103
"46","50-59","ae_median",14,5588.75948275862,4987.35982758621,5296.31303448276,8944.97155172414,5002.2039926747,6221.72413793103
