"","age_group","score_type","horizon","1","4","5","6","baseline_expex_lv","baseline_last_val"
"1","11-15","crps",7,19766.0753394443,9821.90696877553,12078.840299497,19435.7545400156,17438.7201379207,15204.0825562369
"2","11-15","crps",14,22714.1407659826,19645.1765735631,30333.5917004688,28363.4188701816,45339.7310230723,25444.9645544355
"3","11-15","crps",21,25960.7165386217,28703.9468836204,47846.2588020555,33863.6151549627,77282.733352614,30768.5061040865
"4","11-15","crps",28,29839.0867632409,38063.4895348234,67474.0468436799,37572.4086039792,119607.663231997,40489.3318353176
"5","11-15","ae_median",7,25543.9596335864,13655.3984167537,15801.4254523578,24513.5571695461,17438.7201379207,15204.0825562369
"6","11-15","ae_median",14,27144.7815136283,26165.2954835775,37299.2409505168,34946.4253352002,45339.7310230723,25444.9645544355
"7","11-15","ae_median",21,30945.7649796566,36421.238229323,59110.9930821558,41177.291707959,77282.733352614,30768.5061040865
"8","11-15","ae_median",28,34902.875787244,46451.9697372642,86412.4292310006,44852.2934796797,119607.663231997,40489.3318353176
"9","16-24","crps",7,19230.7743982731,10431.7323553752,11672.4331165252,16766.0653769945,14839.4643627401,14864.5356004269
"10","16-24","crps",14,25889.0164552173,25446.6070222423,26361.2736619149,22852.8822646285,34370.489246512,29158.654996217
"11","16-24","crps",21,37357.0214391016,44933.8781402216,43800.6515513141,34473.2027013978,57090.9443154576,39851.7707351988
"12","16-24","crps",28,48735.7664228894,69710.9810648927,67735.8956506323,47468.8576500696,88099.066144891,52280.4812596121
"13","16-24","ae_median",7,24701.9988093805,14529.2632228409,15959.3741157203,23554.7738053175,14839.4643627401,14864.5356004269
"14","16-24","ae_median",14,32365.5506614174,32370.9468996466,33129.1397034558,30806.2007660323,34370.489246512,29158.654996217
"15","16-24","ae_median",21,45635.0442279985,54606.3656914879,55372.9710733775,41895.8993338869,57090.9443154576,39851.7707351988
"16","16-24","ae_median",28,56017.4403834346,82132.5761120211,85312.1973568674,54344.8816829163,88099.066144891,52280.4812596121
"17","2-10","crps",7,16920.428813872,13068.711545556,10574.8257381929,19765.1251431638,15645.4388433145,13626.490667757
"18","2-10","crps",14,22330.9355290148,24894.5652512113,25756.7447248379,27271.4077130575,37375.3667567629,23728.9092895796
"19","2-10","crps",21,32317.4004528935,37745.6622604654,39313.7296485557,38425.1898253466,55980.9387990085,33980.1100230528
"20","2-10","crps",28,35842.7339743206,51142.904488585,58771.8898004667,44561.5229625865,88557.1337243975,39747.8258029545
"21","2-10","ae_median",7,24590.9688125992,18235.5472048561,15216.561514416,27400.2699838584,15645.4388433145,13626.490667757
"22","2-10","ae_median",14,30313.5837913764,32914.4930322775,35989.3151339167,36505.3006105667,37375.3667567629,23728.9092895796
"23","2-10","ae_median",21,41584.6395202225,48845.0946092112,51575.5897691226,49998.1098983566,55980.9387990085,33980.1100230528
"24","2-10","ae_median",28,44850.7455128467,65163.3951137984,77309.9365097601,54033.75153409,88557.1337243975,39747.8258029545
"25","25-34","crps",7,12918.9137199928,7102.71307943182,7377.98962914882,16514.2891259035,11739.2362452432,10941.183408009
"26","25-34","crps",14,23315.2654338611,20248.2207206728,20933.9312283896,29457.1518164395,33623.5587186006,24181.0922385806
"27","25-34","crps",21,36537.0239713496,38768.7824232945,38037.2173672628,45303.3592344384,62628.7040022548,39385.1637106959
"28","25-34","crps",28,45785.6811178963,56371.7108292361,53032.0093838327,56220.1212155454,100923.245459628,50844.5947033054
"29","25-34","ae_median",7,16766.9907605959,9659.31976054444,9779.71539363139,22587.0038729606,11739.2362452432,10941.183408009
"30","25-34","ae_median",14,28769.6342700601,24872.724510954,26767.4944677439,35921.1658295227,33623.5587186006,24181.0922385806
"31","25-34","ae_median",21,42162.785584452,44449.2870239052,46358.5229399114,53190.4314617817,62628.7040022548,39385.1637106959
