"","type","horizon","model","periods","crps_rel","bias"
"85","Infections",21,"1","Christmas + 
Lockdown 3",0.265464273463177,-0.244285714285714
"86","Infections",21,"4","Christmas + 
Lockdown 3",0.780017588074402,0.0938095238095238
"87","Infections",21,"5","Christmas + 
Lockdown 3",1,-0.0957142857142857
"88","Infections",21,"6","Christmas + 
Lockdown 3",0.716118612362863,0.246190476190476
"89","Infections",21,"baseline_last_val","Christmas + 
Lockdown 3",1.02253903214682,0.761904761904762
"90","Infections",21,"baseline_expex_lv","Christmas + 
Lockdown 3",1.79888382213048,0.0952380952380952
"91","Infections",28,"1","Christmas + 
Lockdown 3",0.161299287154332,-0.128095238095238
"92","Infections",28,"4","Christmas + 
Lockdown 3",0.813426601244455,0.188571428571429
"93","Infections",28,"5","Christmas + 
Lockdown 3",1,-0.0480952380952381
"94","Infections",28,"6","Christmas + 
Lockdown 3",0.730651574918831,0.287142857142857
"95","Infections",28,"baseline_last_val","Christmas + 
Lockdown 3",0.977478322281484,0.857142857142857
"96","Infections",28,"baseline_expex_lv","Christmas + 
Lockdown 3",1.86951525054327,0.0952380952380952
"97","Infections",7,"1","Lockdown 3 
easing",2.01075934759134,-0.136530612244898
"98","Infections",7,"4","Lockdown 3 
easing",0.893603531834299,0.0244897959183673
"99","Infections",7,"5","Lockdown 3 
easing",1,-0.111428571428571
"100","Infections",7,"6","Lockdown 3 
easing",1.97856427658234,-0.133877551020408
"101","Infections",7,"baseline_last_val","Lockdown 3 
easing",1.22368774886058,-0.163265306122449
"102","Infections",7,"baseline_expex_lv","Lockdown 3 
easing",1.40235963678182,0.0408163265306122
"103","Infections",14,"1","Lockdown 3 
easing",1.00238505526289,-0.162857142857143
"104","Infections",14,"4","Lockdown 3 
easing",0.710881682392375,0.0273469387755102
"105","Infections",14,"5","Lockdown 3 
easing",1,-0.0777551020408163
"106","Infections",14,"6","Lockdown 3 
easing",1.0052008578736,-0.24265306122449
"107","Infections",14,"baseline_last_val","Lockdown 3 
easing",0.843199862376923,-0.102040816326531
"108","Infections",14,"baseline_expex_lv","Lockdown 3 
easing",1.47518457617573,0.0612244897959184
"109","Infections",21,"1","Lockdown 3 
easing",0.708278888594417,-0.169591836734694
"110","Infections",21,"4","Lockdown 3 
easing",0.701676250897754,-0.0363265306122449
"111","Infections",21,"5","Lockdown 3 
easing",1,-0.0791836734693877
"112","Infections",21,"6","Lockdown 3 
easing",0.717975658473263,-0.275102040816327
"113","Infections",21,"baseline_last_val","Lockdown 3 
easing",0.638365570813051,-0.142857142857143
"114","Infections",21,"baseline_expex_lv","Lockdown 3 
easing",1.54818650894586,0.0408163265306122
"115","Infections",28,"1","Lockdown 3 
easing",0.501379885646179,-0.219591836734694
"116","Infections",28,"4","Lockdown 3 
easing",0.682461500777952,-0.161836734693878
"117","Infections",28,"5","Lockdown 3 
easing",1,-0.120612244897959
"118","Infections",28,"6","Lockdown 3 
easing",0.552480544415397,-0.271428571428571
"119","Infections",28,"baseline_last_val","Lockdown 3 
easing",0.475872658184124,-0.26530612244898
"120","Infections",28,"baseline_expex_lv","Lockdown 3 
easing",1.64494258718655,-0.0408163265306122
"121","Infections",7,"1","Opening Up",1.46983331046261,-0.0177142857142857
"122","Infections",7,"4","Opening Up",0.943910214828822,-0.0422857142857143
"123","Infections",7,"5","Opening Up",1,-0.144571428571429
"124","Infections",7,"6","Opening Up",1.38018947758225,0.012
"125","Infections",7,"baseline_last_val","Opening Up",1.04708464684989,-0.142857142857143
"126","Infections",7,"baseline_expex_lv","Opening Up",1.46908560815429,-0.0285714285714286
"127","Infections",14,"1","Opening Up",0.791295158174698,-0.278857142857143
"128","Infections",14,"4","Opening Up",0.901468845368641,-0.294285714285714
"129","Infections",14,"5","Opening Up",1,-0.236
"130","Infections",14,"6","Opening Up",0.863610979517075,-0.0571428571428571
"131","Infections",14,"baseline_last_val","Opening Up",0.878450155143729,-0.314285714285714
"132","Infections",14,"baseline_expex_lv","Opening Up",1.34761434991542,-0.142857142857143
"133","Infections",21,"1","Opening Up",0.840652156518353,-0.422285714285714
"134","Infections",21,"4","Opening Up",0.930839556559038,-0.370857142857143
"135","Infections",21,"5","Opening Up",1,-0.248571428571429
"136","Infections",21,"6","Opening Up",0.817697853689654,-0.18
"137","Infections",21,"baseline_last_val","Opening Up",0.89540786189373,-0.257142857142857
"138","Infections",21,"baseline_expex_lv","Opening Up",1.28687861736318,-0.2
"139","Infections",28,"1","Opening Up",0.831776131283261,-0.509714285714286
"140","Infections",28,"4","Opening Up",0.884771737892113,-0.332571428571429
"141","Infections",28,"5","Opening Up",1,-0.177714285714286
"142","Infections",28,"6","Opening Up",0.806968378219529,-0.349142857142857
"143","Infections",28,"baseline_last_val","Opening Up",0.879072208285051,-0.428571428571429
"144","Infections",28,"baseline_expex_lv","Opening Up",1.30330600363314,-0.0285714285714286
"145","Cases",7,"1",NA,4.18044293834802,0.4275
"146","Cases",7,"4",NA,0.600785550661178,-0.1075
"147","Cases",7,"5",NA,1,-0.225
"148","Cases",7,"6",NA,7.40656503781071,0.7275
"149","Cases",7,"baseline_last_val",NA,1.91073280871407,-1
"150","Cases",7,"baseline_expex_lv",NA,1.27044004589195,-0.75
"151","Cases",14,"1",NA,3.00574336413988,0.695
"152","Cases",14,"4",NA,0.357998992174716,-0.24
"153","Cases",14,"5",NA,1,-0.285
"154","Cases",14,"6",NA,7.35525808199741,0.9475
"155","Cases",14,"baseline_last_val",NA,1.82191533517299,-1
"156","Cases",14,"baseline_expex_lv",NA,1.22739607934986,-0.5
"157","Cases",21,"1",NA,4.3565994606645,0.985
"158","Cases",21,"4",NA,1.17618167943794,0.7425
"159","Cases",21,"5",NA,1,0.3775
"160","Cases",21,"6",NA,8.49429247570478,1
