"","type","horizon","model","age_group","crps_rel","bias"
"1","Infections",7,"1","11-15",1.63642161410706,-0.264137931034483
"2","Infections",7,"4","11-15",0.813149832702444,-0.20551724137931
"3","Infections",7,"5","11-15",1,-0.103448275862069
"4","Infections",7,"6","11-15",1.60907455170386,-0.166896551724138
"5","Infections",7,"baseline_last_val","11-15",1.25873694653203,-0.103448275862069
"6","Infections",7,"baseline_expex_lv","11-15",1.44374126203547,0.103448275862069
"7","Infections",14,"1","11-15",0.748811449375166,-0.315172413793103
"8","Infections",14,"4","11-15",0.647637667426619,-0.0848275862068966
"9","Infections",14,"5","11-15",1,-0.0593103448275862
"10","Infections",14,"6","11-15",0.935049800572848,-0.177241379310345
"11","Infections",14,"baseline_last_val","11-15",0.838837840427656,-0.103448275862069
"12","Infections",14,"baseline_expex_lv","11-15",1.49470367606918,0.0344827586206897
"13","Infections",21,"1","11-15",0.54258613293097,-0.242068965517241
"14","Infections",21,"4","11-15",0.59992040343993,-0.15448275862069
"15","Infections",21,"5","11-15",1,-0.0579310344827586
"16","Infections",21,"6","11-15",0.707758892812492,-0.18551724137931
"17","Infections",21,"baseline_last_val","11-15",0.643070260339031,-0.103448275862069
"18","Infections",21,"baseline_expex_lv","11-15",1.61523043363411,0.103448275862069
"19","Infections",28,"1","11-15",0.442230578408473,-0.258620689655172
"20","Infections",28,"4","11-15",0.564120448014727,-0.213793103448276
"21","Infections",28,"5","11-15",1,-0.100689655172414
"22","Infections",28,"6","11-15",0.556842376610741,-0.18
"23","Infections",28,"baseline_last_val","11-15",0.60007267578186,-0.241379310344828
"24","Infections",28,"baseline_expex_lv","11-15",1.77264694837554,0.0344827586206897
"25","Infections",7,"1","16-24",1.64753776751543,-0.1
"26","Infections",7,"4","16-24",0.893706757728733,-0.0662068965517241
"27","Infections",7,"5","16-24",1,-0.193103448275862
"28","Infections",7,"6","16-24",1.4363813619337,-0.0544827586206897
"29","Infections",7,"baseline_last_val","16-24",1.27347361531526,0.0344827586206897
"30","Infections",7,"baseline_expex_lv","16-24",1.27132571372212,0.0344827586206897
"31","Infections",14,"1","16-24",0.982085190087764,-0.182758620689655
"32","Infections",14,"4","16-24",0.965302638582518,-0.0875862068965517
"33","Infections",14,"5","16-24",1,-0.129655172413793
"34","Infections",14,"6","16-24",0.866911157545658,-0.0724137931034483
"35","Infections",14,"baseline_last_val","16-24",1.10611707803571,0.0344827586206897
"36","Infections",14,"baseline_expex_lv","16-24",1.30382506123626,0.0344827586206897
"37","Infections",21,"1","16-24",0.852887345644538,-0.252413793103448
"38","Infections",21,"4","16-24",1.02587236830438,-0.0393103448275862
"39","Infections",21,"5","16-24",1,-0.102068965517241
"40","Infections",21,"6","16-24",0.787047714598746,-0.100689655172414
"41","Infections",21,"baseline_last_val","16-24",0.909844244862681,0.103448275862069
"42","Infections",21,"baseline_expex_lv","16-24",1.30342682799075,0.0344827586206897
"43","Infections",28,"1","16-24",0.719496892375327,-0.209655172413793
"44","Infections",28,"4","16-24",1.02915862254849,-0.0131034482758621
"45","Infections",28,"5","16-24",1,-0.0993103448275862
"46","Infections",28,"6","16-24",0.700793238121544,-0.0682758620689655
"47","Infections",28,"baseline_last_val","16-24",0.771828301042389,0.172413793103448
"48","Infections",28,"baseline_expex_lv","16-24",1.30062598713225,0.0344827586206897
"49","Infections",7,"1","2-10",1.60006691673044,-0.315862068965517
"50","Infections",7,"4","2-10",1.23583233134103,-0.137241379310345
"51","Infections",7,"5","2-10",1,-0.0889655172413793
"52","Infections",7,"6","2-10",1.86907336655,-0.328275862068966
"53","Infections",7,"baseline_last_val","2-10",1.28857827118063,-0.241379310344828
"54","Infections",7,"baseline_expex_lv","2-10",1.47949850244891,-0.0344827586206897
"55","Infections",14,"1","2-10",0.86699370466177,-0.335172413793103
"56","Infections",14,"4","2-10",0.966526069857141,-0.0868965517241379
"57","Infections",14,"5","2-10",1,-0.133793103448276
"58","Infections",14,"6","2-10",1.05880646038157,-0.290344827586207
"59","Infections",14,"baseline_last_val","2-10",0.921269731213246,-0.310344827586207
"60","Infections",14,"baseline_expex_lv","2-10",1.45109046799384,-0.0344827586206897
"61","Infections",21,"1","2-10",0.822038528061168,-0.358620689655172
"62","Infections",21,"4","2-10",0.960114000831058,-0.112413793103448
"63","Infections",21,"5","2-10",1,-0.147586206896552
"64","Infections",21,"6","2-10",0.977398740054628,-0.286206896551724
"65","Infections",21,"baseline_last_val","2-10",0.864331884225112,-0.241379310344828
"66","Infections",21,"baseline_expex_lv","2-10",1.42395390362219,-0.0344827586206897
"67","Infections",28,"1","2-10",0.609861859062358,-0.401379310344828
"68","Infections",28,"4","2-10",0.870193295846324,-0.15448275862069
"69","Infections",28,"5","2-10",1,-0.147586206896552
"70","Infections",28,"6","2-10",0.758211504068952,-0.34
"71","Infections",28,"baseline_last_val","2-10",0.676306750351235,-0.172413793103448
"72","Infections",28,"baseline_expex_lv","2-10",1.50679404771657,-0.103448275862069
"73","Infections",7,"1","25-34",1.75100730271468,-0.0744827586206897
"74","Infections",7,"4","25-34",0.962689490829663,0.0206896551724138
"75","Infections",7,"5","25-34",1,-0.220689655172414
"76","Infections",7,"6","25-34",2.23831828939677,0.131724137931034
"77","Infections",7,"baseline_last_val","25-34",1.48294914440958,-0.103448275862069
"78","Infections",7,"baseline_expex_lv","25-34",1.59111585070058,-0.103448275862069
"79","Infections",14,"1","25-34",1.11375475439807,-0.0931034482758621
"80","Infections",14,"4","25-34",0.967244064182893,-0.0117241379310345
"81","Infections",14,"5","25-34",1,-0.117931034482759
"82","Infections",14,"6","25-34",1.40714859025098,0.104827586206897
"83","Infections",14,"baseline_last_val","25-34",1.1551147261718,-0.0344827586206897
"84","Infections",14,"baseline_expex_lv","25-34",1.60617508253786,0.172413793103448
"85","Infections",21,"1","25-34",0.960559854275662,-0.14551724137931
"86","Infections",21,"4","25-34",1.01923287523817,0.0220689655172414
"87","Infections",21,"5","25-34",1,-0.0917241379310345
"88","Infections",21,"6","25-34",1.1910271668145,0.111724137931034
"89","Infections",21,"baseline_last_val","25-34",1.03543756448896,0.172413793103448
"90","Infections",21,"baseline_expex_lv","25-34",1.64651118922692,0.103448275862069
"91","Infections",28,"1","25-34",0.863359349379179,-0.133793103448276
"92","Infections",28,"4","25-34",1.06297520090614,-0.0289655172413793
"93","Infections",28,"5","25-34",1,-0.168965517241379
"94","Infections",28,"6","25-34",1.06011674588149,0.0572413793103448
"95","Infections",28,"baseline_last_val","25-34",0.958752936086292,0.103448275862069
"96","Infections",28,"baseline_expex_lv","25-34",1.90306282247708,0.0344827586206897
"97","Infections",7,"1","35-49",1.01542187473168,-0.00758620689655173
"98","Infections",7,"4","35-49",0.76605552646297,-0.0841379310344828
"99","Infections",7,"5","35-49",1,-0.141379310344828
"100","Infections",7,"6","35-49",1.78817890201234,0.278620689655172
"101","Infections",7,"baseline_last_val","35-49",1.03328531073626,-0.0344827586206897
"102","Infections",7,"baseline_expex_lv","35-49",1.38943658364376,-0.0344827586206897
"103","Infections",14,"1","35-49",0.713953166777468,-0.122068965517241
"104","Infections",14,"4","35-49",0.674462297536857,-0.151034482758621
"105","Infections",14,"5","35-49",1,-0.213103448275862
"106","Infections",14,"6","35-49",1.18443330608324,0.0937931034482759
"107","Infections",14,"baseline_last_val","35-49",0.85745305643367,0.103448275862069
"108","Infections",14,"baseline_expex_lv","35-49",1.43311866471637,-0.103448275862069
"109","Infections",21,"1","35-49",0.659397438397898,-0.153103448275862
"110","Infections",21,"4","35-49",0.672211231773443,-0.0586206896551724
"111","Infections",21,"5","35-49",1,-0.146206896551724
"112","Infections",21,"6","35-49",0.891522882526676,0.000689655172413794
"113","Infections",21,"baseline_last_val","35-49",0.718815449035704,-0.0344827586206897
"114","Infections",21,"baseline_expex_lv","35-49",1.39692274098743,-0.0344827586206897
"115","Infections",28,"1","35-49",0.518421097330478,-0.202758620689655
"116","Infections",28,"4","35-49",0.622348960238907,-0.123448275862069
"117","Infections",28,"5","35-49",1,-0.126896551724138
"118","Infections",28,"6","35-49",0.729165936742926,-0.0282758620689655
"119","Infections",28,"baseline_last_val","35-49",0.581756391292795,-0.103448275862069
"120","Infections",28,"baseline_expex_lv","35-49",1.40930018444628,-0.103448275862069
"121","Infections",7,"1","50-69",1.19355704044068,0.162758620689655
"122","Infections",7,"4","50-69",0.778042572420353,0.170344827586207
"123","Infections",7,"5","50-69",1,-0.0551724137931035
"124","Infections",7,"6","50-69",1.68740309421089,0.26551724137931
"125","Infections",7,"baseline_last_val","50-69",1.14222389396302,0.310344827586207
"126","Infections",7,"baseline_expex_lv","50-69",1.37932658185496,0.0344827586206897
"127","Infections",14,"1","50-69",0.739543962787083,0.0648275862068965
"128","Infections",14,"4","50-69",0.657222462290763,0.0855172413793103
"129","Infections",14,"5","50-69",1,-0.0262068965517241
"130","Infections",14,"6","50-69",0.999514281816489,0.160689655172414
"131","Infections",14,"baseline_last_val","50-69",0.873071384101684,0.103448275862069
"132","Infections",14,"baseline_expex_lv","50-69",1.37108190157758,0.0344827586206897
"133","Infections",21,"1","50-69",0.723064399007597,-0.0331034482758621
"134","Infections",21,"4","50-69",0.754710757266532,-0.063448275862069
"135","Infections",21,"5","50-69",1,-0.0744827586206897
"136","Infections",21,"6","50-69",0.955144496937934,0.076551724137931
"137","Infections",21,"baseline_last_val","50-69",0.863879672634242,0.172413793103448
"138","Infections",21,"baseline_expex_lv","50-69",1.39138927202283,-0.103448275862069
"139","Infections",28,"1","50-69",0.710000409940647,-0.112413793103448
"140","Infections",28,"4","50-69",0.792101648831748,-0.096551724137931
"141","Infections",28,"5","50-69",1,-0.0517241379310345
"142","Infections",28,"6","50-69",0.922898509172694,0.00965517241379309
"143","Infections",28,"baseline_last_val","50-69",0.823368219697738,-0.172413793103448
"144","Infections",28,"baseline_expex_lv","50-69",1.38573213553784,0.0344827586206897
"145","Infections",7,"1","70+",0.920261580537487,0.00551724137931035
"146","Infections",7,"4","70+",0.620389125037137,0.212413793103448
"147","Infections",7,"5","70+",1,-0.0951724137931035
"148","Infections",7,"6","70+",0.903841628764398,-0.2
"149","Infections",7,"baseline_last_val","70+",0.968128777191304,-0.172413793103448
"150","Infections",7,"baseline_expex_lv","70+",1.54915523917994,-0.172413793103448
"151","Infections",14,"1","70+",0.491597844251559,-0.0544827586206897
"152","Infections",14,"4","70+",0.50164219329427,0.0337931034482759
"153","Infections",14,"5","70+",1,-0.169655172413793
"154","Infections",14,"6","70+",0.509262271899598,-0.264137931034483
"155","Infections",14,"baseline_last_val","70+",0.640925626360188,0.103448275862069
"156","Infections",14,"baseline_expex_lv","70+",1.42591441810584,-0.172413793103448
