"","type","horizon","model","age_group","crps_rel","bias"
"157","Infections",21,"1","70+",0.423127399611669,-0.156551724137931
"158","Infections",21,"4","70+",0.483951735370259,-0.043448275862069
"159","Infections",21,"5","70+",1,-0.192413793103448
"160","Infections",21,"6","70+",0.397186871943961,-0.307586206896552
"161","Infections",21,"baseline_last_val","70+",0.56469961711753,0.0344827586206897
"162","Infections",21,"baseline_expex_lv","70+",1.51860687381041,-0.103448275862069
"163","Infections",28,"1","70+",0.40046507320948,-0.0772413793103448
"164","Infections",28,"4","70+",0.517979513924318,0.016551724137931
"165","Infections",28,"5","70+",1,-0.13448275862069
"166","Infections",28,"6","70+",0.38578234214282,-0.271034482758621
"167","Infections",28,"baseline_last_val","70+",0.509781732615423,-0.0344827586206897
"168","Infections",28,"baseline_expex_lv","70+",1.63620378556419,-0.0344827586206897
"169","Cases",7,"1","0-9",1.68533386130614,-0.0275862068965517
"170","Cases",7,"4","0-9",1.26399511016172,-0.152413793103448
"171","Cases",7,"5","0-9",1,-0.16
"172","Cases",7,"6","0-9",5.18240153396681,0.0193103448275862
"173","Cases",7,"baseline_last_val","0-9",1.91556280375022,-0.310344827586207
"174","Cases",7,"baseline_expex_lv","0-9",1.34979715835016,-0.241379310344828
"175","Cases",14,"1","0-9",0.976161390352551,0.0986206896551724
"176","Cases",14,"4","0-9",1.08589011029693,-0.0855172413793103
"177","Cases",14,"5","0-9",1,-0.00896551724137931
"178","Cases",14,"6","0-9",2.38063913681308,0.0462068965517241
"179","Cases",14,"baseline_last_val","0-9",1.19075863148088,-0.379310344827586
"180","Cases",14,"baseline_expex_lv","0-9",1.31341589334324,-0.0344827586206897
"181","Cases",21,"1","0-9",0.917528913661395,0.146206896551724
"182","Cases",21,"4","0-9",1.05104210924085,-0.213103448275862
"183","Cases",21,"5","0-9",1,-0.101379310344828
"184","Cases",21,"6","0-9",1.66336960467148,0.0551724137931034
"185","Cases",21,"baseline_last_val","0-9",0.934588504253446,-0.310344827586207
"186","Cases",21,"baseline_expex_lv","0-9",1.19759520165113,-0.0344827586206897
"187","Cases",28,"1","0-9",0.879888094172982,0.14551724137931
"188","Cases",28,"4","0-9",0.968652333785849,-0.12551724137931
"189","Cases",28,"5","0-9",1,-0.0682758620689655
"190","Cases",28,"6","0-9",1.53123015772153,0.143448275862069
"191","Cases",28,"baseline_last_val","0-9",0.666215316968591,-0.310344827586207
"192","Cases",28,"baseline_expex_lv","0-9",1.25448338124744,-0.0344827586206897
"193","Cases",7,"1","10-19",1.28251001344585,0.150344827586207
"194","Cases",7,"4","10-19",1.01201071113039,0.00275862068965517
"195","Cases",7,"5","10-19",1,-0.18
"196","Cases",7,"6","10-19",4.27882623614163,0.129655172413793
"197","Cases",7,"baseline_last_val","10-19",1.42115657271031,-0.172413793103448
"198","Cases",7,"baseline_expex_lv","10-19",1.32290909954838,-0.241379310344828
"199","Cases",14,"1","10-19",1.00323870383974,0.242758620689655
"200","Cases",14,"4","10-19",0.93564442680118,0.0579310344827586
"201","Cases",14,"5","10-19",1,-0.08
"202","Cases",14,"6","10-19",2.4598466903428,0.213103448275862
"203","Cases",14,"baseline_last_val","10-19",0.947525592843291,-0.241379310344828
"204","Cases",14,"baseline_expex_lv","10-19",1.37999070467484,-0.172413793103448
"205","Cases",21,"1","10-19",1.06171896486565,0.171724137931034
"206","Cases",21,"4","10-19",1.00603782198883,-0.135862068965517
"207","Cases",21,"5","10-19",1,-0.202758620689655
"208","Cases",21,"6","10-19",2.10059326304357,0.122758620689655
"209","Cases",21,"baseline_last_val","10-19",0.870217537042303,-0.172413793103448
"210","Cases",21,"baseline_expex_lv","10-19",1.32370007008317,-0.310344827586207
"211","Cases",28,"1","10-19",0.925346962138733,0.173793103448276
"212","Cases",28,"4","10-19",0.968688477801458,-0.0710344827586207
"213","Cases",28,"5","10-19",1,-0.162758620689655
"214","Cases",28,"6","10-19",1.66975141880888,0.200689655172414
"215","Cases",28,"baseline_last_val","10-19",0.609657998672483,-0.172413793103448
"216","Cases",28,"baseline_expex_lv","10-19",1.2616333335731,-0.172413793103448
"217","Cases",7,"1","20-29",2.52224486843407,0.18551724137931
"218","Cases",7,"4","20-29",0.925491674239477,-0.0475862068965517
"219","Cases",7,"5","20-29",1,-0.104137931034483
"220","Cases",7,"6","20-29",5.85062588434212,0.249655172413793
"221","Cases",7,"baseline_last_val","20-29",1.83274252794309,0.103448275862069
"222","Cases",7,"baseline_expex_lv","20-29",1.443282930395,-0.0344827586206897
"223","Cases",14,"1","20-29",1.8714391943528,0.213103448275862
"224","Cases",14,"4","20-29",1.00517560100986,-0.0241379310344828
"225","Cases",14,"5","20-29",1,-0.0255172413793103
"226","Cases",14,"6","20-29",3.28882558572348,0.264827586206897
"227","Cases",14,"baseline_last_val","20-29",1.21772090438404,0.103448275862069
"228","Cases",14,"baseline_expex_lv","20-29",1.2835598050083,-0.0344827586206897
"229","Cases",21,"1","20-29",1.50228339165962,0.211724137931034
"230","Cases",21,"4","20-29",1.01307490573525,-0.00896551724137931
"231","Cases",21,"5","20-29",1,-0.00689655172413793
"232","Cases",21,"6","20-29",2.251726268832,0.248275862068966
"233","Cases",21,"baseline_last_val","20-29",0.978821257698299,0.103448275862069
"234","Cases",21,"baseline_expex_lv","20-29",1.04091754326289,0.103448275862069
"235","Cases",28,"1","20-29",1.33761861164412,0.206896551724138
"236","Cases",28,"4","20-29",1.01259651585339,0.0193103448275862
"237","Cases",28,"5","20-29",1,-0.0344827586206897
"238","Cases",28,"6","20-29",1.89180037814289,0.30551724137931
"239","Cases",28,"baseline_last_val","20-29",0.735639423028688,0.0344827586206897
"240","Cases",28,"baseline_expex_lv","20-29",1.01568612021907,-0.0344827586206897
"241","Cases",7,"1","30-39",1.71582786004777,0.0841379310344828
"242","Cases",7,"4","30-39",1.24951685432439,-0.178620689655172
"243","Cases",7,"5","30-39",1,-0.181379310344828
"244","Cases",7,"6","30-39",4.33552010754042,0.155172413793103
"245","Cases",7,"baseline_last_val","30-39",2.1987248494357,0.0344827586206897
"246","Cases",7,"baseline_expex_lv","30-39",1.42634431710018,-0.241379310344828
"247","Cases",14,"1","30-39",1.29699218018929,0.233793103448276
"248","Cases",14,"4","30-39",1.05948215354029,-0.0951724137931034
"249","Cases",14,"5","30-39",1,-0.106206896551724
"250","Cases",14,"6","30-39",2.66505682684355,0.211034482758621
"251","Cases",14,"baseline_last_val","30-39",1.4502955371428,0.0344827586206897
"252","Cases",14,"baseline_expex_lv","30-39",1.2449498207988,-0.241379310344828
"253","Cases",21,"1","30-39",1.14865391201581,0.213103448275862
"254","Cases",21,"4","30-39",1.04193763891078,-0.0524137931034483
"255","Cases",21,"5","30-39",1,-0.195862068965517
"256","Cases",21,"6","30-39",1.73353750681543,0.14
"257","Cases",21,"baseline_last_val","30-39",0.96106265317754,0.0344827586206897
"258","Cases",21,"baseline_expex_lv","30-39",1.08058832188327,-0.241379310344828
"259","Cases",28,"1","30-39",1.13131938899009,0.22
"260","Cases",28,"4","30-39",1.06117304331485,0.0117241379310345
"261","Cases",28,"5","30-39",1,-0.144137931034483
"262","Cases",28,"6","30-39",1.72349742830313,0.179310344827586
"263","Cases",28,"baseline_last_val","30-39",0.840001670835731,0.0344827586206897
"264","Cases",28,"baseline_expex_lv","30-39",1.06591565589559,-0.0344827586206897
"265","Cases",7,"1","40-49",1.25722337584051,0.0213793103448276
"266","Cases",7,"4","40-49",1.00662961031526,-0.128275862068966
"267","Cases",7,"5","40-49",1,-0.11448275862069
"268","Cases",7,"6","40-49",3.10299298938875,0.0268965517241379
"269","Cases",7,"baseline_last_val","40-49",1.97482568289307,-0.0344827586206897
"270","Cases",7,"baseline_expex_lv","40-49",1.31467002327854,-0.172413793103448
"271","Cases",14,"1","40-49",0.989938954977635,0.20551724137931
"272","Cases",14,"4","40-49",1.1026323021029,-0.0710344827586207
"273","Cases",14,"5","40-49",1,-0.08
"274","Cases",14,"6","40-49",2.26912051648937,0.116551724137931
"275","Cases",14,"baseline_last_val","40-49",1.479938743297,-0.103448275862069
"276","Cases",14,"baseline_expex_lv","40-49",1.11364631179349,-0.241379310344828
"277","Cases",21,"1","40-49",0.971651366637887,0.17448275862069
"278","Cases",21,"4","40-49",1.09871669328001,-0.0937931034482759
"279","Cases",21,"5","40-49",1,-0.157241379310345
"280","Cases",21,"6","40-49",1.6859837149104,0.0758620689655173
"281","Cases",21,"baseline_last_val","40-49",0.98430339760193,0.0344827586206897
"282","Cases",21,"baseline_expex_lv","40-49",1.03169451715754,-0.241379310344828
"283","Cases",28,"1","40-49",1.00683182725088,0.189655172413793
"284","Cases",28,"4","40-49",1.11093410003449,-0.0537931034482759
"285","Cases",28,"5","40-49",1,-0.113793103448276
"286","Cases",28,"6","40-49",1.61410112163027,0.137931034482759
"287","Cases",28,"baseline_last_val","40-49",0.81046848268054,0.0344827586206897
"288","Cases",28,"baseline_expex_lv","40-49",1.0167519195261,-0.103448275862069
"289","Cases",7,"1","50-59",1.09232176482707,0.11448275862069
"290","Cases",7,"4","50-59",0.988705011133532,-0.0544827586206897
"291","Cases",7,"5","50-59",1,-0.104137931034483
"292","Cases",7,"6","50-59",2.67659301578245,0.144827586206897
"293","Cases",7,"baseline_last_val","50-59",1.90957166543808,0.0344827586206897
"294","Cases",7,"baseline_expex_lv","50-59",1.35513680093921,-0.103448275862069
"295","Cases",14,"1","50-59",0.924947941939929,0.276551724137931
"296","Cases",14,"4","50-59",1.05812246534762,-0.0627586206896552
"297","Cases",14,"5","50-59",1,-0.0503448275862069
"298","Cases",14,"6","50-59",1.97161443590556,0.22551724137931
"299","Cases",14,"baseline_last_val","50-59",1.54700026952652,-0.172413793103448
"300","Cases",14,"baseline_expex_lv","50-59",1.24377274744742,-0.0344827586206897
"301","Cases",21,"1","50-59",0.882687424656752,0.272413793103448
"302","Cases",21,"4","50-59",1.07740297902569,-0.0924137931034483
"303","Cases",21,"5","50-59",1,-0.123448275862069
"304","Cases",21,"6","50-59",1.47724709456702,0.175862068965517
"305","Cases",21,"baseline_last_val","50-59",0.980951909369775,0.103448275862069
"306","Cases",21,"baseline_expex_lv","50-59",1.07559065189891,-0.0344827586206897
"307","Cases",28,"1","50-59",0.937535465081083,0.317931034482759
"308","Cases",28,"4","50-59",1.06990003793112,-0.0117241379310345
"309","Cases",28,"5","50-59",1,-0.0931034482758621
"310","Cases",28,"6","50-59",1.49037628120969,0.228275862068966
"311","Cases",28,"baseline_last_val","50-59",0.81050036902778,-0.0344827586206897
"312","Cases",28,"baseline_expex_lv","50-59",1.05640389753406,0.0344827586206897
"313","Cases",7,"1","60-69",0.953926344005595,0.16
"314","Cases",7,"4","60-69",0.970459881682727,-0.0496551724137931
"315","Cases",7,"5","60-69",1,-0.18
"316","Cases",7,"6","60-69",2.58245023923105,0.288275862068965
"317","Cases",7,"baseline_last_val","60-69",1.69636467651928,0.103448275862069
"318","Cases",7,"baseline_expex_lv","60-69",1.29034040156792,-0.310344827586207
"319","Cases",14,"1","60-69",0.752119062541066,0.320689655172414
"320","Cases",14,"4","60-69",0.963810691784847,0.0255172413793104
"321","Cases",14,"5","60-69",1,-0.0613793103448276
"322","Cases",14,"6","60-69",1.91773601512745,0.377241379310345
"323","Cases",14,"baseline_last_val","60-69",1.44781499832586,0.0344827586206897
"324","Cases",14,"baseline_expex_lv","60-69",1.22333124560673,-0.103448275862069
"325","Cases",21,"1","60-69",0.682477553670218,0.322068965517241
"326","Cases",21,"4","60-69",0.950613622297177,0.023448275862069
"327","Cases",21,"5","60-69",1,-0.117931034482759
"328","Cases",21,"6","60-69",1.38868867917518,0.35448275862069
"329","Cases",21,"baseline_last_val","60-69",0.923246737978455,0.0344827586206897
"330","Cases",21,"baseline_expex_lv","60-69",1.1344290933621,-0.103448275862069
"331","Cases",28,"1","60-69",0.747146813553924,0.371034482758621
"332","Cases",28,"4","60-69",0.964713955395497,0.0496551724137931
"333","Cases",28,"5","60-69",1,-0.104137931034483
"334","Cases",28,"6","60-69",1.36343696521801,0.342758620689655
"335","Cases",28,"baseline_last_val","60-69",0.779481203158407,-0.0344827586206897
"336","Cases",28,"baseline_expex_lv","60-69",1.107770856812,-0.103448275862069
"337","Cases",7,"1","70+",0.931667505211698,0.29448275862069
"338","Cases",7,"4","70+",0.802231144647012,0.0855172413793103
"339","Cases",7,"5","70+",1,-0.149655172413793
"340","Cases",7,"6","70+",1.55158095039122,0.357931034482759
"341","Cases",7,"baseline_last_val","70+",1.42732280495484,0.241379310344828
"342","Cases",7,"baseline_expex_lv","70+",1.3558392595835,-0.103448275862069
"343","Cases",14,"1","70+",0.652042342886784,0.424827586206897
"344","Cases",14,"4","70+",0.796887046162508,0.131034482758621
"345","Cases",14,"5","70+",1,-0.120689655172414
"346","Cases",14,"6","70+",1.18336106675644,0.438620689655172
"347","Cases",14,"baseline_last_val","70+",1.17655050493226,-0.0344827586206897
"348","Cases",14,"baseline_expex_lv","70+",1.32343067315301,-0.103448275862069
"349","Cases",21,"1","70+",0.673110304725899,0.473793103448276
"350","Cases",21,"4","70+",0.928718684449908,0.113793103448276
"351","Cases",21,"5","70+",1,-0.135862068965517
"352","Cases",21,"6","70+",1.18283020844944,0.415172413793103
"353","Cases",21,"baseline_last_val","70+",0.938922781411136,-0.0344827586206897
"354","Cases",21,"baseline_expex_lv","70+",1.30120639753378,-0.103448275862069
"355","Cases",28,"1","70+",0.746573348208737,0.501379310344828
"356","Cases",28,"4","70+",0.955730810782415,0.130344827586207
"357","Cases",28,"5","70+",1,-0.102758620689655
"358","Cases",28,"6","70+",1.18565145421473,0.410344827586207
"359","Cases",28,"baseline_last_val","70+",0.769524032525257,0.103448275862069
"360","Cases",28,"baseline_expex_lv","70+",1.20365503705239,-0.103448275862069
