"","periods","score_type","1","2","3","4","baseline_last_diff","baseline_last_gen"
"1","Light 
Restrictions","interval_score",266.749377690751,149.986863842775,169.642960947747,173.780478924908,49.5753365685678,99.845695253373
"2","Light 
Restrictions","aem",291.054302189738,185.216411440069,205.225437391933,208.661976818123,90.0796780694197,154.506571254788
"3","Light 
Restrictions","bias",-0.77,-0.9,-0.914285714285714,-0.947142857142857,-0.57,-0.822857142857143
"4","Schools 
re-opened","interval_score",1175.18960138083,1345.8166933825,1470.46620298974,1467.07178506518,622.428353883387,925.011299036964
"5","Schools 
re-opened","aem",1439.46410993605,1672.65197451127,1807.55510653443,1807.04231795002,922.478848059709,1276.26186672083
"6","Schools 
re-opened","bias",-0.367857142857143,-0.203214285714286,-0.219642857142857,-0.231428571428571,-0.128214285714286,-0.581071428571429
"7","Lockdown 2","interval_score",1387.1212556163,2381.33224636159,2390.42979910452,2374.2880313933,1325.09310771994,1265.16905420719
"8","Lockdown 2","aem",1676.91277030923,2781.78886605076,2803.35454462219,2797.27858033647,1753.21092390139,1696.44969867678
"9","Lockdown 2","bias",-0.111428571428571,-0.00142857142857143,0.00214285714285714,0.00357142857142857,-0.2,0.055
"10","Lockdown 2 
easing","interval_score",2072.46387598698,2352.25184847067,2350.39610267698,2366.52870655501,1956.81096662268,2747.50662926483
"11","Lockdown 2 
easing","aem",2379.14507157846,2855.43776710754,2844.30011655503,2881.62911655503,2523.67239558041,3373.80958627724
"12","Lockdown 2 
easing","bias",-0.725714285714286,-0.785714285714286,-0.725714285714286,-0.728571428571429,-0.691428571428571,-0.948571428571429
"13","Christmas","interval_score",1410.21761020917,1985.25909918434,2020.44054821539,2021.60318833566,1448.58883861559,1253.43075797313
"14","Christmas","aem",1663.36271005758,2362.04766507598,2399.27253576119,2396.19177774242,1895.35747998108,1681.87281706002
"15","Christmas","bias",-0.0285714285714286,0.186904761904762,0.15547619047619,0.152619047619048,-0.11547619047619,0.509761904761905
"16","Lockdown 3","interval_score",474.408741592056,449.946326925477,435.622755923909,438.11203710953,209.696129165264,242.550897499402
"17","Lockdown 3","aem",616.735101812413,586.982908601845,573.319388199772,573.987992297351,346.968333927458,391.909445960496
"18","Lockdown 3","bias",0.321904761904762,0.0504761904761905,0.04,0.0428571428571429,0.354285714285714,0.21047619047619
"19","Lockdown 3 
Schools Open","interval_score",303.098266890469,266.627245686094,261.795010671843,262.673730247831,128.940143092163,203.200829483557
"20","Lockdown 3 
Schools Open","aem",360.97065816217,333.484502038165,326.992016445768,328.524270731482,202.480435473331,295.48236907914
"21","Lockdown 3 
Schools Open","bias",0.128571428571429,-0.0645714285714286,-0.068,-0.0691428571428571,-0.441714285714286,0.327428571428571
"22","Lockdown 3 
easing","interval_score",1358.35239354808,1574.2726241604,1568.40222809978,1566.46031999248,802.91199305547,997.055778730891
"23","Lockdown 3 
easing","aem",1631.38118794911,1925.34688476921,1907.6836503925,1907.79020324507,1144.59183827127,1340.44180463556
"24","Lockdown 3 
easing","bias",-0.217402597402597,-0.151818181818182,-0.159480519480519,-0.165454545454545,-0.159480519480519,-0.236233766233766
"25","Opening Up","interval_score",1686.45097537765,2032.01808390265,2065.49247160603,2058.72833928422,1363.08700847468,1033.62240940484
"26","Opening Up","aem",2153.74970331136,2597.80763356366,2628.64707856783,2623.56092525619,1822.64244236126,1556.4892088827
"27","Opening Up","bias",-0.182142857142857,-0.164285714285714,-0.142857142857143,-0.146428571428571,-0.0528571428571429,-0.0514285714285714
