"","model","mad","bias","dss","crps","log_score","ae_median","se_mean"
"1","1",8108.74477826172,-0.0646551724137931,68.5416720308772,29298.2061653424,Inf,32944.3970846113,3957167204.60109
"2","2",7885.87600308362,-0.0621428571428571,83.9954606775121,33382.9665640163,Inf,37317.8242951231,5733862560.31906
"3","3",7598.78320830259,-0.0604926108374384,79.8465111282341,31736.3866459804,Inf,35481.4128927944,5116035903.39261
"4","4",7713.73921119828,-0.0655665024630542,77.8519146288108,31488.1528060195,Inf,35354.4250621293,5057277954.27815
"5","5",12903.2608356155,-0.137586206896552,127.893279404227,37159.1268451913,Inf,42874.4868454422,9624940793.93607
"6","baseline_last_val",0,-0.0270935960591133,NA,28914.9113323824,Inf,28914.9113323824,3177615752.25494
"7","baseline_linex_lv",0,-0.152709359605911,NA,42102.5492698383,Inf,42102.5492698383,5721835578.51727
"8","baseline_expex_lv",0,-0.0123152709359606,NA,53491.9371567267,Inf,53491.9371567267,15764882777.0904
