"","model","periods","mad","bias","dss","crps","log_score","ae_median","se_mean"
"1","1","Lockdown 2",6145.59233,0.623333333333333,38.7149568206697,24506.8959844826,34.3869930881313,27772.118426288,1252475867.40884
"2","2","Lockdown 2",7145.62721,0.517619047619048,29.6827026808472,21112.5751722575,19.9603016505946,24629.0945123298,1057041682.26191
"3","3","Lockdown 2",7047.35201,0.478571428571429,29.4675960317826,19929.8004674017,20.4242885197247,23467.8135599489,914478621.871728
"4","4","Lockdown 2",7882.414105,0.462857142857143,28.2927274081482,19066.1180252559,19.1073287201161,23110.0433218536,868318203.775175
"5","5","Lockdown 2",12919.42582,0.222857142857143,28.4201391873467,26909.387007346,17.7137424353421,32334.9599105999,2275702104.23695
"6","1","Lockdown 2 
easing",5735.96407,-0.438095238095238,114.182444131151,32662.8320128745,Inf,35634.3317773853,2163920951.69051
"7","2","Lockdown 2 
easing",6397.07659,-0.687142857142857,64.7786137978125,27222.1632909864,85.2049430165223,30200.2519354219,1651900365.35262
"8","3","Lockdown 2 
easing",6489.42845,-0.662380952380952,71.8835567619262,27521.3898203268,101.587328773326,30570.9140488475,1704701299.21694
"9","4","Lockdown 2 
easing",6014.754645,-0.683809523809524,72.9060353676632,27991.0995584369,105.040448378588,30865.323572657,1749197058.69245
"10","5","Lockdown 2 
easing",10029.67251,-0.521428571428571,78.3876094408192,32452.7205310254,Inf,37054.7324081936,2143496772.56666
"11","1","Christmas",7776.64375227273,0.39038961038961,50.6056436626449,24787.374714849,Inf,28330.4065665591,1849291584.03493
"12","2","Christmas",8566.37143718182,0.393506493506494,46.2623074751735,38634.4926689363,Inf,42771.395165918,5744253427.51627
"13","3","Christmas",8361.22864813636,0.363896103896104,48.484115282767,35666.4176067206,Inf,39595.049536529,4593342629.49581
"14","4","Christmas",8332.14725659091,0.358961038961039,47.9248429016828,34698.5454412084,Inf,38804.6087353648,4331764584.68146
"15","5","Christmas",14533.7947029545,0.139220779220779,44.9307939772399,41463.347045041,Inf,47880.5987603246,8112451185.42694
"16","1","Lockdown 3",1387.449556,-0.637619047619048,60.3465089103612,5919.78381758328,Inf,6650.05125815676,75833245.3984573
"17","2","Lockdown 3",1442.8590835,-0.740952380952381,126.505745339358,7605.05357371756,Inf,8283.4808114778,113551831.815481
"18","3","Lockdown 3",1426.9126615,-0.713333333333333,117.049389489914,7302.26986929987,Inf,8044.70819243018,107067062.947294
"19","4","Lockdown 3",1479.5813205,-0.71,108.52894886762,7305.11159815957,Inf,8052.75497814446,106967828.031407
"20","5","Lockdown 3",1713.0484605,-0.803809523809524,93.2559038196384,8782.46691709323,Inf,9700.58190453233,142689742.339551
"21","1","Lockdown 3 
Schools Open",1578.1589709,0.418285714285714,30.5626034597092,4852.33868448471,25.582027910504,5570.28419534215,70770640.5379745
"22","2","Lockdown 3 
Schools Open",1422.47447016,0.232571428571429,35.735092607064,4542.16454442164,37.3212744606551,5224.74166275686,59012100.2134479
"23","3","Lockdown 3 
Schools Open",1455.7950156,0.283428571428571,35.7862701076047,5066.88278481867,39.0015331606382,5808.04723978972,76607095.4995908
"24","4","Lockdown 3 
Schools Open",1575.79501815,0.292857142857143,34.9466595761319,5127.9457855776,32.4152935022686,5889.92080618573,79080346.8410092
"25","5","Lockdown 3 
Schools Open",1888.29992421,0.162571428571429,39.1678383989801,6367.89637819776,42.1708218711697,7248.4895546988,131936191.021738
"26","1","Lockdown 3 
easing",7819.87837588,-0.166122448979592,56.9155655277403,26006.6612404436,Inf,29778.969313779,2861850749.60949
"27","2","Lockdown 3 
easing",8062.05497040714,-0.151768707482993,81.450137359202,30291.5573357688,Inf,34460.1036372062,5258167297.8059
"28","3","Lockdown 3 
easing",7514.66437569286,-0.156326530612245,73.4502110063581,27645.0400500778,Inf,31449.0325861858,4219093955.31423
"29","4","Lockdown 3 
easing",7707.35007117857,-0.169659863945578,75.33024023184,27497.5652843994,Inf,31388.3753480216,4192229646.1789
"30","5","Lockdown 3 
easing",13917.7357327214,-0.166190476190476,137.348291214545,35060.734788529,Inf,41398.8260310806,13334645475.874
"31","1","Opening Up",14404.07143735,-0.440833333333333,119.248606211179,55580.3934008298,Inf,61313.4398103121,11520340108.708
"32","2","Opening Up",11814.8755825,-0.264761904761905,150.901817003015,57048.3115392091,Inf,62902.0079849366,12516098783.5454
"33","3","Opening Up",11564.825385,-0.246190476190476,143.432080733728,56519.9330288438,Inf,62221.3479139774,12420046998.4261
"34","4","Opening Up",11656.6398025,-0.238333333333333,133.532191572744,56537.7729541669,Inf,62418.0087964282,12422253111.7648
"35","5","Opening Up",17734.749696125,-0.293928571428571,270.268933904313,60548.6586424292,Inf,68095.4194646594,14553058433.5587
"36","baseline_last_val","Lockdown 2",0,0.333333333333333,NA,19065.9210119814,Inf,19065.9210119814,528384778.203548
"37","baseline_last_val","Lockdown 2 
easing",0,-0.619047619047619,NA,29206.3693200798,Inf,29206.3693200798,1551290294.63456
"38","baseline_last_val","Christmas",0,0.571428571428571,NA,36017.1781890258,Inf,36017.1781890258,2067995188.81469
"39","baseline_last_val","Lockdown 3",0,0.142857142857143,NA,5056.82788109308,Inf,5056.82788109308,47732627.1949075
"40","baseline_last_val","Lockdown 3 
Schools Open",0,0.742857142857143,NA,7776.37169769863,Inf,7776.37169769863,104819917.876403
"41","baseline_last_val","Lockdown 3 
easing",0,-0.312925170068027,NA,20588.9574937139,Inf,20588.9574937139,1004367162.94787
"42","baseline_last_val","Opening Up",0,-0.380952380952381,NA,54136.548058579,Inf,54136.548058579,11129644453.5365
"43","baseline_linex_lv","Lockdown 2",0,0.142857142857143,NA,33590.299316336,Inf,33590.299316336,1747873385.85976
"44","baseline_linex_lv","Lockdown 2 
easing",0,-0.428571428571429,NA,43334.389871325,Inf,43334.389871325,3032341080.95735
"45","baseline_linex_lv","Christmas",0,-0.0779220779220779,NA,53237.3357185166,Inf,53237.3357185166,5491105622.45416
"46","baseline_linex_lv","Lockdown 3",0,-0.19047619047619,NA,13735.148754351,Inf,13735.148754351,518536136.364655
"47","baseline_linex_lv","Lockdown 3 
Schools Open",0,-0.0857142857142857,NA,10100.0483958478,Inf,10100.0483958478,205946670.510988
"48","baseline_linex_lv","Lockdown 3 
easing",0,-0.163265306122449,NA,29870.0557548885,Inf,29870.0557548885,2364525295.0331
"49","baseline_linex_lv","Opening Up",0,-0.226190476190476,NA,75548.8531740837,Inf,75548.8531740837,17073607112.4342
"50","baseline_expex_lv","Lockdown 2",0,0.19047619047619,NA,33166.985115753,Inf,33166.985115753,1988549159.5164
"51","baseline_expex_lv","Lockdown 2 
easing",0,-0.380952380952381,NA,38045.8280648064,Inf,38045.8280648064,2075704440.11518
"52","baseline_expex_lv","Christmas",0,0.0779220779220779,NA,58888.9721680956,Inf,58888.9721680956,11532332822.3516
"53","baseline_expex_lv","Lockdown 3",0,-0.19047619047619,NA,7714.1480575932,Inf,7714.1480575932,106835507.824116
"54","baseline_expex_lv","Lockdown 3 
Schools Open",0,0.171428571428571,NA,8302.42809539365,Inf,8302.42809539365,224694045.234344
"55","baseline_expex_lv","Lockdown 3 
easing",0,0.00680272108843537,NA,54135.6986657382,Inf,54135.6986657382,21067400924.1402
"56","baseline_expex_lv","Opening Up",0,-0.119047619047619,NA,86634.2470890972,Inf,86634.2470890972,27621281922.4908
