"","model","interval_score","sharpness","underprediction","overprediction","coverage_deviation","bias","aem"
"1","1",381.320737795353,107.562738380451,109.480406420637,164.277592994265,0.0144735915079495,0.0657940161104718,533.15986617376
"2","2",385.051807456305,107.802369451749,114.878853347956,162.3705846566,0.0135576900495526,0.0680133157981259,540.924729853341
"3","3",366.340289227041,108.429255966561,101.652723059136,156.258310201344,0.0181254550151476,0.0732368896925859,522.962897149077
"4","4",366.784797324277,108.571447353376,101.878437960212,156.334912010688,0.0178788661609638,0.0737588361006083,523.92788516099
"5","baseline_last_val",816.52434770107,120.158913392612,365.624037554341,330.741396754117,-0.212182224137256,-0.0708801754867014,1079.40088022247
"6","baseline_linex_lv",757.969026715028,117.20957520185,332.393369714465,308.366081798712,-0.151758834746622,-0.171201363249077,982.492676969726
