areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2022-04-21,15_19,439,3420,109.8
E92000001,England,nation,2022-04-21,20_24,915,6537,188.2
E92000001,England,nation,2022-04-21,25_29,1052,8580,227.5
E92000001,England,nation,2022-04-21,30_34,1245,10208,266.9
E92000001,England,nation,2022-04-21,35_39,1071,9451,252.8
E92000001,England,nation,2022-04-21,40_44,1087,9099,261.7
E92000001,England,nation,2022-04-21,45_49,1140,9395,258.2
E92000001,England,nation,2022-04-21,50_54,1247,10800,278.7
E92000001,England,nation,2022-04-21,55_59,1239,11035,293.3
E92000001,England,nation,2022-04-21,60+,4453,38137,279.2
E92000001,England,nation,2022-04-21,60_64,1111,9485,296.7
E92000001,England,nation,2022-04-21,65_69,877,7739,278.0
E92000001,England,nation,2022-04-21,70_74,818,6999,248.7
E92000001,England,nation,2022-04-21,75_79,588,5308,264.1
E92000001,England,nation,2022-04-21,80_84,429,3545,244.6
E92000001,England,nation,2022-04-21,85_89,347,2777,313.7
E92000001,England,nation,2022-04-21,90+,283,2284,438.3
E92000001,England,nation,2022-04-21,unassigned,9,57,
E92000001,England,nation,2022-04-20,00_04,211,1765,54.5
E92000001,England,nation,2022-04-20,00_59,11709,87914,205.0
E92000001,England,nation,2022-04-20,05_09,223,1674,47.3
E92000001,England,nation,2022-04-20,10_14,292,2261,65.8
E92000001,England,nation,2022-04-20,15_19,485,3544,113.7
E92000001,England,nation,2022-04-20,20_24,970,6604,190.2
E92000001,England,nation,2022-04-20,25_29,1295,8974,237.9
E92000001,England,nation,2022-04-20,30_34,1485,10677,279.2
E92000001,England,nation,2022-04-20,35_39,1326,9999,267.5
E92000001,England,nation,2022-04-20,40_44,1250,9554,274.8
E92000001,England,nation,2022-04-20,45_49,1259,9787,269.0
E92000001,England,nation,2022-04-20,50_54,1412,11365,293.3
E92000001,England,nation,2022-04-20,55_59,1501,11710,311.3
E92000001,England,nation,2022-04-20,60+,5230,41073,300.7
E92000001,England,nation,2022-04-20,60_64,1296,10135,317.0
E92000001,England,nation,2022-04-20,65_69,1073,8332,299.2
E92000001,England,nation,2022-04-20,70_74,894,7474,265.6
E92000001,England,nation,2022-04-20,75_79,717,5786,287.9
E92000001,England,nation,2022-04-20,80_84,515,3866,266.8
E92000001,England,nation,2022-04-20,85_89,383,2976,336.1
E92000001,England,nation,2022-04-20,90+,352,2504,480.6
E92000001,England,nation,2022-04-20,unassigned,9,53,
E92000001,England,nation,2022-04-19,00_04,243,1887,58.3
E92000001,England,nation,2022-04-19,00_59,14393,93349,217.7
